question,max_tokens
"Hi there, this is steve jobs, founder of",4
"Earlier today, major medai outlets reported that",100
"Algorithms, in mathematics and computer science is",50
"India:Delhi::Austrialia:",3
"Alice asked Bob if he was feeling better to which Bob replied that he was",5
"Q: Color of the sky is? A:",3
"Q: Color of the sky is? A: Blue; Q: Color of trees/plants are? A:",3
"Q: Color of the sky is? A: Blue; Q: Color of trees/plants are? A: Green; Q: Color of sea is? A:",3
"1:One, 2:Two, 3:Three, 4:Four, 5:",3
"1 + 1 = 2, 1 + 2 = 3, 1 + 3 = 4, 1 + 5 = ?",1
"In which year did India gain its independence?",3
